var_cod,description,portal,last_update
0014550,População empregada (Série 2021 - N.º) por Local de residência (NUTS - 2024) e Atividade económica (Secção - CAE Rev. 3); Anual,Yes,2025-09-15
0014370,Perspetivas sobre a produção nos próximos 3 meses (SRE - Valores corrigidos de sazonalidade) da indústria transformadora por Tipo de bens; Mensal,Yes,2025-09-09
0014549,Taxa de circularidade dos materiais (%); Anual,Yes,2025-09-08
0014548,"Resíduos gerados, excluindo os principais resíduos minerais, por unidade de PIB (kg/ €); Anual",Yes,2025-09-05
0000336,Farmacêuticos comunitários (N.º) por Local de trabalho (NUTS - 2002); Anual,Yes,2025-09-05
0002899,Farmacêuticos comunitários (N.º) por Local de trabalho (NUTS - 2001); Anual,Yes,2025-09-05
0012843,Farmacêuticos comunitários (N.º) por Local de trabalho (NUTS - 2024); Anual,Yes,2025-09-05
0012844,Farmacêuticos (N.º) por Local de trabalho (NUTS - 2024) e Sexo; Anual,Yes,2025-09-05
0014547,Resíduos gerados per capita (kg/ hab.); Anual,Yes,2025-09-05
0014546,População inativa disponível mas que não procura emprego (Ajustada de sazonalidade - N.º); Mensal,Yes,2025-08-22
0000538,Efetivo suíno (N.º) por Localização geográfica (NUTS - 2013) e Categoria (efetivo suíno); Semestral,Yes,2025-08-22
0000544,Efetivo suíno (N.º) por Localização geográfica (Região agrária) e Categoria (efetivo suíno); Semestral,Yes,2025-08-22
0013072,Efetivo suíno (N.º) por Localização geográfica (NUTS - 2024) e Categoria (efetivo suíno); Semestral,Yes,2025-08-22
0014543,População inativa disponível mas que não procura emprego (N.º); Mensal,Yes,2025-08-22
0014545,População inativa à procura de emprego mas não disponível (Ajustada de sazonalidade - N.º); Mensal,Yes,2025-08-22
0000961,Efetivo suíno (N.º) por Localização geográfica (NUTS - 2001) e Categoria (efetivo suíno); Semestral,Yes,2025-08-22
0014542,População inativa à procura de emprego mas não disponível (N.º); Mensal,Yes,2025-08-22
0014544,Subemprego da população empregada a tempo parcial (Ajustada de sazonalidade - N.º); Mensal,Yes,2025-08-22
0014541,Subemprego da população empregada a tempo parcial (N.º); Mensal,Yes,2025-08-22
0011289,Subemprego da população empregada a tempo parcial (Série 2021 - N.º) por Local de residência (NUTS - 2013); Anual,Yes,2025-08-21
0014539,Oportunidade de compra de bens duradouros (SRE - Valores corrigidos de sazonalidade); Mensal,Yes,2025-08-21
0012178,Subemprego da população empregada a tempo parcial (Série 2021 - N.º) por Local de residência (NUTS - 2024); Anual,Yes,2025-08-21
0014540,Apreciação sobre a situação económica do país nos últimos 12 meses (SRE - Valores corrigidos de sazonalidade); Mensal,Yes,2025-08-21
0014538,Incerteza da situação financeira do agregado familiar (Saldo de respostas extremas); Mensal,Yes,2025-08-21
0012836,"Médicas/os especialistas (N.º) por Local de residência (NUTS - 2024), Sexo e Especialidade, subespecialidade ou competência; Anual",Yes,2025-08-21
0011290,Subemprego da população empregada a tempo parcial (Série 2021 - N.º) por Nível de escolaridade mais elevado completo; Anual,Yes,2025-08-21
0011288,Subemprego da população empregada a tempo parcial (Série 2021 - N.º) por Grupo etário; Anual,Yes,2025-08-21
0011270,Subemprego da população empregada a tempo parcial (Série 2021 - N.º) por Sexo; Anual,Yes,2025-08-21
0004345,Pensões da segurança social (Série 1990-2023 - €) por Tipo de pensão; Anual,Yes,2025-08-21
0004324,Pensionistas da segurança social (Série 1990-2023 - N.º) por Tipo de pensão; Anual,Yes,2025-08-21
0004347,Valor médio das pensões da segurança social (Série 1990-2023 - €/ N.º) por Tipo de pensão; Anual,Yes,2025-08-21
0014537,Proporção da população residente (%) por Local de residência (NUTS - 2024) e Itens de privação material e social; Anual,Yes,2025-08-20
0014535,"Taxa de desemprego (Série 2021 - %) por Sexo, Grupo etário e Limitação na realização de atividades devido a problema de saúde; Anual",Yes,2025-08-08
0014536,"Rendimento médio mensal líquido (Série 2021 - €) da população empregada por conta de outrem por Sexo, Grupo etário e Limitação na realização de atividades devido a problema de saúde; Anual",Yes,2025-08-08
0014533,Pensões da segurança social (Série 2017 - €) por Local de residência (NUTS - 2024) e Tipo de pensão; Anual,Yes,2025-08-06
0014532,Valor médio das pensões da segurança social (Série 2017 - €/ N.º) por Local de residência (NUTS - 2024) e Tipo de pensão; Anual,Yes,2025-08-06
