title,varcd,geo_lastlevel,last_period_available,last_update,periodicity,update_type
Fogos licenciados (N.º) em construções novas para habitação familiar,0012097,NUTS III,S3A202410,2024-12-09,Mensal,A
Edifícios licenciados (N.º),0012096,NUTS III,S3A202410,2024-12-09,Mensal,A
Tonelada-quilómetro (tkm) dos Veículos pesados de mercadorias,0007154,Continente,S5A20243,2024-12-06,Trimestral,A
Índice de custo de construção de habitação nova (Taxa de variação média anual - Base 2021 - %),0011751,Portugal,S3A202410,2024-12-04,Mensal,A
Índice de custo de construção de habitação nova (Base - 2021),0011748,Portugal,S3A202410,2024-12-04,Mensal,A
Unidades comerciais de dimensão relevante (N.º),0013916,NUTS II,S7A2023,2024-12-03,Anual,N
Taxa de intensidade da pobreza (%),0006263,Portugal,S7A2023,2024-12-03,Anual,A
Taxa de privação material e social (%),0011592,Portugal,S7A2024,2024-12-03,Anual,A
Limiar de risco de pobreza (€),0004218,Portugal,S7A2023,2024-12-03,Anual,A
Desigualdade na distribuição de rendimentos S90/S10 (N.º),0004214,Portugal,S7A2023,2024-12-03,Anual,A
Volume de vendas de produtos de marca própria (€) das unidades comerciais de dimensão relevante,0006955,NUTS II,S7A2023,2024-12-03,Anual,A
Volume de negócios (€) das unidades comerciais de dimensão relevante,0006944,NUTS II,S7A2023,2024-12-03,Anual,A
Volume de vendas (€) das unidades comerciais de dimensão relevante,0006940,Portugal,S7A2023,2024-12-03,Anual,A
Volume de negócios (€) das unidades comerciais de dimensão relevante,0013918,NUTS II,S7A2023,2024-12-03,Anual,N
Volume de vendas de produtos de marca própria (€) das unidades comerciais de dimensão relevante,0013924,NUTS II,S7A2023,2024-12-03,Anual,N
Unidades comerciais de dimensão relevante (N.º),0006939,Portugal,S7A2023,2024-12-03,Anual,A
Pessoal ao serviço (N.º) nas unidades comerciais de dimensão relevante,0006937,Portugal,S7A2023,2024-12-03,Anual,A
Pessoal ao serviço médio por unidade comercial de dimensão relevante (N.º),0006938,Portugal,S7A2023,2024-12-03,Anual,A
Unidades comerciais de dimensão relevante (N.º),0006942,NUTS II,S7A2023,2024-12-03,Anual,A
Volume de vendas (€) das unidades comerciais de dimensão relevante dedicadas ao comércio a retalho com predominância alimentar,0013922,NUTS II,S7A2023,2024-12-03,Anual,N
Pessoal ao serviço (N.º) nas unidades comerciais de dimensão relevante,0006941,NUTS II,S7A2023,2024-12-03,Anual,A
Volume de vendas (€) das unidades comerciais de dimensão relevante dedicadas ao comércio a retalho com predominância alimentar,0006952,Portugal,S7A2023,2024-12-03,Anual,A
Volume de vendas médio por m² de área de exposição e venda (€) nas unidades comerciais de dimensão relevante,0006950,NUTS II,S7A2023,2024-12-03,Anual,A
Resíduos urbanos recolhidos (t),0012771,Município,S7A2023,2024-12-02,Anual,A
Resíduos urbanos recolhidos por habitante (kg/ hab.),0012765,Município,S7A2023,2024-12-02,Anual,A
Produto interno bruto (B.1*g) a preços correntes (Base 2021 - €),0013428,Portugal,S5A20243,2024-11-29,Trimestral,A
Produto interno bruto dados encadeados em volume (B.1*g) (Taxa de variação homóloga - Base 2021 - %),0013431,Portugal,S5A20243,2024-11-29,Trimestral,A
População empregada com idade entre 16 e 74 anos (N.º),0007970,Portugal,S3A202410,2024-11-29,Mensal,A
Produto interno bruto dados encadeados em volume (B.1*g) (Base 2021 - €),0013430,Portugal,S5A20243,2024-11-29,Trimestral,A
Taxa de desemprego (%) da população ativa com idade entre 16 e 74 anos,0007976,Portugal,S3A202410,2024-11-29,Mensal,A
Passageiros transportados (N.º) pelas empresas exploradoras de sistema ferroviário pesado,0000901,Portugal,S3A202409,2024-11-29,Mensal,A
Índice de produção industrial - ajustado de efeitos de calendário e de sazonalidade (Base - 2021),0011889,Portugal,S3A202410,2024-11-29,Mensal,A
Indicador de confiança (Saldo de respostas extremas) da Construção,0000147,Portugal,S3A202411,2024-11-28,Mensal,A
Indicador de confiança dos consumidores (Saldo de respostas extremas),0001173,Portugal,S3A202411,2024-11-28,Mensal,A
Perspetiva sobre a situação económica do país nos próximos 12 meses (Saldo de respostas extremas),0001169,Portugal,S3A202411,2024-11-28,Mensal,A
Indicador de confiança (Saldo de respostas extremas) do Comércio,0001163,Portugal,S3A202411,2024-11-28,Mensal,A
Grau de poupança do agregado familiar (Saldo de respostas extremas),0001175,Portugal,S3A202411,2024-11-28,Mensal,A
Indicador de confiança (SRE - Valores corrigidos de sazonalidade) dos serviços,0001213,Portugal,S3A202411,2024-11-28,Mensal,A
Indicador de clima económico (% - mm3m),0001222,Portugal,S3A202411,2024-11-28,Mensal,A
Perspetiva sobre a situação financeira do agregado familiar nos próximos 12 meses (Saldo de respostas extremas),0001171,Portugal,S3A202411,2024-11-28,Mensal,A
Perspetiva sobre oportunidade de realização de poupança nos próximos 12 meses (Saldo de respostas extremas),0001176,Portugal,S3A202411,2024-11-28,Mensal,A
Resíduos Setoriais produzidos (t),0006061,Portugal,S7A2023,2024-11-27,Anual,A
Valor mediano de avaliação bancária (€/ m²),0012248,Município,S3A202410,2024-11-26,Mensal,A
Constituição de pessoas coletivas e entidades equiparadas (N.º),0012244,Município,S3A202410,2024-11-22,Mensal,A
Dissolução de pessoas coletivas e entidades equiparadas (N.º),0012245,Município,S3A202410,2024-11-22,Mensal,A
Agregados domésticos privados com pelo menos um indivíduo com idade entre 16 e 74 anos e com ligação à Internet em casa através de banda larga (N.º),0002510,NUTS II,S7A2024,2024-11-21,Anual,A
