theme,subtheme,varcd,title,last_update,geo_lastlevel,last_period_available,periodicity,update_type
População,Nupcialidade e divorcialidade,0000001,Casamentos dissolvidos por divórcio (Entre pessoas de sexo oposto - N.º),19-05-2023,Município,S7A2013,Anual,D
População,Natalidade e fecundidade,0000003,Nados-vivos (N.º),10-04-2013,Município,S7A2013,Anual,D
População,Mortalidade e esperança de vida,0000004,Óbitos (N.º),01-03-2016,Município,S7A2013,Anual,D
Comércio internacional,Comércio internacional,0000008,Importações (€) de bens,09-08-2024,Agrupamento/País,S7A2023,Anual,D
População,Estimativas de população,0000009,Densidade populacional (N.º/ km²),08-01-2016,Município,S7A2014,Anual,D
Comércio internacional,Comércio internacional,0000010,Importações (€) de bens,09-08-2024,Agrupamento/País,S7A2023,Anual,D
Comércio internacional,Comércio internacional,0000012,Exportações (€) de bens,09-08-2024,Agrupamento/País,S7A2023,Anual,D
Comércio internacional,Comércio internacional,0000013,Exportações (€) de bens,09-08-2024,Agrupamento/País,S7A2023,Anual,D
"Agricultura, floresta e pescas",Produção vegetal,0000014,Produção vinícola declarada em mosto (hl) pelos produtores,29-11-2013,Município,S7A2008,Anual,D
"Agricultura, floresta e pescas",Produção vegetal,0000015,Produção vinícola declarada em mosto (hl) pelos produtores,29-11-2013,Região agrária,S7A2008,Anual,D
"Agricultura, floresta e pescas",Produção vegetal,0000016,Produção vinícola declarada em vinho (hl) pelos produtores,29-11-2013,Município,S7A2008,Anual,D
"Agricultura, floresta e pescas",Produção vegetal,0000017,Produção vinícola declarada em vinho (hl) pelos produtores,29-11-2013,Região agrária,S7A2008,Anual,D
"Agricultura, floresta e pescas",Produção vegetal,0000018,Superfície das principais culturas agrícolas (ha),13-07-2023,NUTS II,S7A2022,Anual,D
"Agricultura, floresta e pescas",Produção vegetal,0000019,Superfície das principais culturas agrícolas (ha),12-09-2024,Região agrária,S7A2023,Anual,D
"Agricultura, floresta e pescas",Produção vegetal,0000020,Produção das principais culturas agrícolas (t),22-12-2023,NUTS II,S7A2022,Anual,D
"Agricultura, floresta e pescas",Produção vegetal,0000021,Produção das principais culturas agrícolas (t),12-09-2024,Região agrária,S7A2023,Anual,D
"Agricultura, floresta e pescas",Produção vegetal,0000022,Produtividade das principais culturas agrícolas (kg/ ha),22-12-2023,NUTS II,S7A2022,Anual,D
"Agricultura, floresta e pescas",Produção vegetal,0000023,Produtividade das principais culturas agrícolas (kg/ ha),12-09-2024,Região agrária,S7A2023,Anual,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000024,Superfície agrícola utilizada média por exploração (ha),12-12-2008,NUTS II,S7A2007,Bienal,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000027,Margem bruta total por exploração (€),12-12-2008,NUTS II,S7A2007,Bienal,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000028,Margem bruta total por superfície agrícola utilizada (€/ ha),12-12-2008,NUTS II,S7A2007,Bienal,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000029,Proporção de explorações com rendimento do produtor agrícola singular exclusivamente da exploração (%),12-12-2008,NUTS II,S7A2007,Bienal,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000030,Proporção da superfície agrícola utilizada em conta própria (%),12-12-2008,NUTS II,S7A2007,Bienal,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000031,Explorações agrícolas (N.º),06-10-2009,NUTS II,S7A2005,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000034,População agrícola familiar (N.º),31-03-2021,NUTS II,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000035,População agrícola familiar (N.º),31-03-2021,NUTS II,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000037,Bovinos por exploração (N.º),31-03-2021,NUTS II,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000039,Suínos por exploração (N.º),31-03-2021,NUTS II,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000040,Ovinos por exploração (N.º),31-03-2021,NUTS II,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000041,Caprinos por exploração (N.º),31-03-2021,NUTS II,S7A2019,Não periódica,D
Empresas,Seguros e resseguros,0000043,Prémios brutos emitidos pelos estabelecimentos de empresas de seguros por habitante (€/ hab.),31-12-2014,Município,S7A2013,Anual,D
Saúde,Cuidados de saúde primários,0000045,Consultas médicas nos estabelecimentos de saúde por habitante (N.º),14-10-2014,Município,S7A2012,Anual,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000046,Explorações agrícolas (N.º),31-03-2021,NUTS II,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000049,Volume de trabalho da mão-de-obra agrícola (UTA),31-03-2021,NUTS II,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000050,Superfície agrícola utilizada média por exploração (ha),12-12-2008,Região agrária,S7A2007,Bienal,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000052,Unidade de trabalho ano médio por exploração agrícola (UTA),31-03-2021,Região agrária,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000053,Margem bruta total por exploração (€),12-12-2008,Região agrária,S7A2007,Bienal,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000054,Margem bruta total por superfície agrícola utilizada (€/ ha),12-12-2008,Região agrária,S7A2007,Bienal,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000055,Proporção de explorações com rendimento do produtor agrícola singular exclusivamente da exploração (%),12-12-2008,Região agrária,S7A2007,Bienal,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000056,Proporção da superfície agrícola utilizada em conta própria (%),12-12-2008,Região agrária,S7A2007,Bienal,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000057,Explorações agrícolas (N.º),06-10-2009,Região agrária,S7A2005,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000058,Mão-de-obra agrícola (N.º),31-03-2021,Região agrária,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000059,População agrícola familiar (N.º),22-10-2009,Região agrária,S7A2007,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000061,População agrícola familiar (N.º),31-03-2021,Região agrária,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000063,Bovinos por exploração (N.º),31-03-2021,Região agrária,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000066,Ovinos por exploração (N.º),31-03-2021,Região agrária,S7A2019,Não periódica,D
"Agricultura, floresta e pescas",Recenseamento agrícola e inquéritos estruturais,0000074,Volume de trabalho da mão-de-obra agrícola (UTA),31-03-2021,Região agrária,S7A2019,Não periódica,D
Construção e habitação,Obras concluídas,0000075,Edifícios concluídos (N.º),18-07-2023,Freguesia,S7A2022,Anual,D
Construção e habitação,Obras concluídas,0000076,Fogos concluídos (N.º) em construções novas para habitação familiar,18-07-2023,Freguesia,S7A2022,Anual,D
Construção e habitação,Obras concluídas,0000077,Fogos concluídos (N.º) em construções novas para habitação familiar,18-07-2023,Freguesia,S7A2022,Anual,D
Construção e habitação,Obras concluídas,0000079,Divisões por fogo concluído (N.º) em construções novas para habitação familiar,18-07-2023,Município,S7A2022,Anual,D
Construção e habitação,Obras concluídas,0000081,Fogos concluídos por pavimento (N.º) em construções novas para habitação familiar,18-07-2023,Município,S7A2022,Anual,D
Construção e habitação,Obras concluídas,0000082,Reconstruções concluídas por 100 construções novas concluídas (N.º),18-07-2023,Município,S7A2022,Anual,D
Construção e habitação,Obras concluídas,0000083,Edifícios de habitação familiar clássica (Parque habitacional - N.º),15-07-2022,Município,S7A2021,Anual,D
Construção e habitação,Obras concluídas,0000085,Edifícios concluídos (N.º),18-07-2023,Município,S7A2022,Anual,D
Construção e habitação,Licenciamento de obras,0000086,Edifícios licenciados (N.º),18-07-2024,Freguesia,S7A2023,Anual,D
Construção e habitação,Licenciamento de obras,0000087,Fogos licenciados (N.º) em construções novas para habitação familiar,18-07-2024,Freguesia,S7A2023,Anual,D
Construção e habitação,Licenciamento de obras,0000088,Fogos licenciados (N.º) em construções novas para habitação familiar,18-07-2024,Freguesia,S7A2023,Anual,D
Construção e habitação,Licenciamento de obras,0000089,Pavimentos por edifício licenciado (N.º) em construções novas para habitação familiar,18-07-2024,Município,S7A2023,Anual,D
Construção e habitação,Licenciamento de obras,0000090,Divisões por fogo licenciado (N.º) em construções novas para habitação familiar,18-07-2024,Município,S7A2023,Anual,D
Construção e habitação,Licenciamento de obras,0000091,Reconstruções licenciadas por 100 construções novas licenciadas (N.º),18-07-2024,Município,S7A2023,Anual,D
Construção e habitação,Licenciamento de obras,0000092,Fogos licenciados por pavimento (N.º) em construções novas para habitação familiar,18-07-2024,Município,S7A2023,Anual,D
Construção e habitação,Licenciamento de obras,0000093,Superfície habitável das divisões licenciadas (m²) em construções novas para habitação familiar,18-07-2024,Município,S7A2023,Anual,D
Construção e habitação,Licenciamento de obras,0000094,Edifícios licenciados (N.º),18-07-2024,Município,S7A2023,Anual,D
População,Natalidade e fecundidade,0000095,Índice sintético de fecundidade (N.º),16-06-2014,NUTS III,S7A2013,Anual,D
População,Natalidade e fecundidade,0000096,Taxa de fecundidade na adolescência (‰),16-06-2014,NUTS III,S7A2013,Anual,D
População,Natalidade e fecundidade,0000097,Idade média da mãe ao nascimento do primeiro filho (Anos),24-08-2015,NUTS III,S7A2013,Anual,D
População,Nupcialidade e divorcialidade,0000098,Idade média da mulher ao primeiro casamento (Ano),30-04-2014,NUTS III,S7A2013,Anual,D
População,Nupcialidade e divorcialidade,0000099,Idade média do homem ao primeiro casamento (Ano),30-04-2014,NUTS III,S7A2013,Anual,D
Empresas,Instituições de crédito e sociedades financeiras,0000100,Caixas Automáticos Multibanco por 10 000 habitantes (N.º),24-10-2014,Município,S7A2013,Anual,D
Empresas,Instituições de crédito e sociedades financeiras,0000102,Levantamentos nacionais em Caixas Automáticos Multibanco por habitante (€),24-10-2014,Município,S7A2013,Anual,D
Empresas,Instituições de crédito e sociedades financeiras,0000103,Compras através de Terminais de Pagamento Automático por habitante (€),31-07-2015,Município,S7A2013,Anual,D
Conjuntura,Preços,0000104,Índices de preços na produção industrial no mercado interno - bruto (Base - 2000),20-01-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Preços,0000105,"Índice harmonizado de preços no consumidor (IHPC, Base - 2015)",13-11-2024,Portugal,S3A202410,Mensal,D
Conjuntura,Preços,0000106,Índice harmonizado de preços no consumidor (Taxa de variação homóloga - Base 2015 - %),13-11-2024,Portugal,S3A202410,Mensal,D
Conjuntura,Preços,0000107,Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %),13-11-2024,Portugal,S3A202410,Mensal,D
Conjuntura,Preços,0000108,Índice harmonizado de preços no consumidor (Taxa de variação mensal - Base 2015 - %),13-11-2024,Portugal,S3A202410,Mensal,D
Conjuntura,Preços,0000109,"Índice harmonizado de preços no consumidor (IHPC, Base - 2015)",13-11-2024,Portugal,S3A202410,Mensal,D
Conjuntura,Preços,0000110,Índice harmonizado de preços no consumidor (Taxa de variação homóloga - Base 2015 - %),13-11-2024,Portugal,S3A202410,Mensal,D
Conjuntura,Preços,0000111,Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %),13-11-2024,Portugal,S3A202410,Mensal,D
Conjuntura,Preços,0000112,Índice harmonizado de preços no consumidor (Taxa de variação mensal - Base 2015 - %),13-11-2024,Portugal,S3A202410,Mensal,D
Conjuntura,Oferta de bens e serviços,0000113,Índice de volume de negócios no comércio a retalho - bruto (Base - 2000),30-01-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000114,Índice de volume de negócios no comércio a retalho - ajustado de efeitos de calendário (Base - 2000),30-01-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000115,Índice de volume de negócios no comércio a retalho - ajustado de efeitos de calendário e de sazonalidade (Base - 2000),30-01-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000116,Índice de volume de negócios no comércio a retalho - bruto deflacionado (Base - 2000),02-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000117,Índice de volume de negócios no comércio a retalho - ajustado de efeitos de calendário deflacionado (Base - 2000),02-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000118,Índice de volume de negócios no comércio a retalho - ajustado de efeitos de calendário e de sazonalidade deflacionado (Base - 2000),02-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000119,Índice de remunerações no comércio a retalho - bruto (Base - 2000),30-01-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000120,Índice de emprego no comércio a retalho - bruto (Base - 2000),30-01-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000121,Índice de horas trabalhadas no comércio a retalho - bruto (Base - 2000),30-01-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000122,Índice de produção na construção e obras públicas - bruto (Base - 2000),10-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000123,Índice de produção na construção e obras públicas - ajustado de efeitos de calendário e de sazonalidade (Base - 2000),10-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000124,Índice de remunerações na construção e obras públicas - bruto (Base - 2000),10-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000125,Índice de emprego na construção e obras públicas - bruto (Base - 2000),10-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000126,Índice de horas trabalhadas na construção e obras públicas - bruto (Base - 2000),10-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000127,Índice de produção industrial - bruto (Base - 2000),30-01-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000128,Índice de produção industrial - ajustado de efeitos de calendário (Base - 2000),30-01-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000129,Índice de produção industrial - ajustado de efeitos de calendário e de sazonalidade (Base - 2000),30-01-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Oferta de bens e serviços,0000130,Índice de volume de negócios na indústria - bruto (Base - 2000),12-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000131,Índice de remunerações na indústria - bruto (Base - 2000),12-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000132,Índice de emprego na indústria - bruto (Base - 2000),12-02-2009,Portugal,S3A200812,Mensal,D
Conjuntura,Mercado de trabalho,0000133,Índice de horas trabalhadas na indústria - bruto (Base - 2000),12-02-2009,Portugal,S3A200812,Mensal,D
